Year,Month,Day,Time,Open,High,Low,Close,Volume
2019,5,27,13:55:00,11934.45,11942.2,11930,11932.6,0
2019,5,27,14:00:00,11932.95,11943.55,11932.95,11941.2,0
2019,5,27,14:05:00,11941.15,11947.35,11937.65,11941.3,0
2019,5,27,14:10:00,11942.8,11945.65,11938.35,11944.25,0
2019,5,27,14:15:00,11944.35,11944.35,11923.85,11929.25,0
2019,5,27,14:20:00,11929.75,11934.3,11926.45,11929.35,0
2019,5,27,14:25:00,11929.55,11931.15,11917.85,11926.75,0
2019,5,27,14:30:00,11927.3,11952.05,11927.3,11945.9,0
2019,5,27,14:35:00,11945.75,11947.45,11938.55,11944.25,0
2019,5,27,14:40:00,11943.6,11946.35,11924.5,11927.55,0
2019,5,27,14:45:00,11927.85,11932.3,11917.4,11923.75,0
2019,5,27,14:50:00,11923.7,11933.65,11920.95,11930.25,0
2019,5,27,14:55:00,11930.55,11932.55,11922.4,11927.75,0
2019,5,27,15:00:00,11927.55,11942.9,11927.55,11941,0
2019,5,27,15:05:00,11941.85,11942.05,11929.1,11929.55,0
2019,5,27,15:10:00,11929.65,11930.3,11920.5,11923.6,0
2019,5,27,15:15:00,11923.2,11925,11911.6,11913.05,0
2019,5,27,15:20:00,11913.3,11920.45,11909.6,11918.6,0
2019,5,27,15:25:00,11918.8,11922.65,11915.95,11920.5,0
2019,5,28,09:15:00,11958.35,11958.35,11918.75,11939.15,0
2019,5,28,09:20:00,11939.15,11945.35,11934.3,11944.6,0
2019,5,28,09:25:00,11944.5,11951.85,11936.25,11937.8,0
2019,5,28,09:30:00,11936.8,11940.75,11924.8,11928.2,0
2019,5,28,09:35:00,11928.75,11930.5,11902,11902.95,0
2019,5,28,09:40:00,11903.8,11912.65,11902.55,11906,0
2019,5,28,09:45:00,11905.45,11924.3,11900.5,11923.95,0
2019,5,28,09:50:00,11923.35,11932.45,11919.05,11919.5,0
2019,5,28,09:55:00,11919.15,11921.05,11913.85,11915.8,0
2019,5,28,10:00:00,11915.5,11921.55,11913.2,11919.95,0
2019,5,28,10:05:00,11920.05,11920.05,11910.4,11912.85,0
2019,5,28,10:10:00,11912.45,11912.65,11901.8,11902.3,0
2019,5,28,10:15:00,11900.25,11907,11891.55,11905.05,0
2019,5,28,10:20:00,11904.3,11915.4,11903.75,11912.6,0
2019,5,28,10:25:00,11912.4,11924.25,11911.2,11921.5,0
2019,5,28,10:30:00,11922.25,11929.4,11920.75,11927.55,0
2019,5,28,10:35:00,11927.9,11931.05,11914.3,11915.6,0
2019,5,28,10:40:00,11915.15,11923.65,11915.15,11921.55,0
2019,5,28,10:45:00,11921.1,11921.85,11914.55,11916.1,0
2019,5,28,10:50:00,11915.45,11923.5,11915.25,11920.75,0
2019,5,28,10:55:00,11920.2,11923.3,11912.5,11918,0
2019,5,28,11:00:00,11916.95,11936.45,11915.8,11933.6,0
2019,5,28,11:05:00,11932.75,11935.35,11921.75,11924.45,0
2019,5,28,11:10:00,11924.75,11926.65,11915.75,11917.7,0
2019,5,28,11:15:00,11917.55,11924,11917.2,11924,0
2019,5,28,11:20:00,11923.85,11933.55,11921.55,11929.65,0
2019,5,28,11:25:00,11929.25,11929.25,11921.3,11921.7,0
2019,5,28,11:30:00,11921.45,11928.8,11917.15,11927.6,0
2019,5,28,11:35:00,11927.75,11930.6,11922.25,11923.55,0
2019,5,28,11:40:00,11923.25,11923.6,11912.75,11915.55,0
2019,5,28,11:45:00,11915.45,11920.6,11913.55,11918.65,0
2019,5,28,11:50:00,11918.45,11918.65,11911,11916.45,0
2019,5,28,11:55:00,11917.1,11917.1,11898.8,11901.6,0
2019,5,28,12:00:00,11901.55,11904.1,11891.85,11896.5,0
2019,5,28,12:05:00,11896.4,11908.05,11895.15,11901.75,0
2019,5,28,12:10:00,11901.9,11913.1,11901.3,11908.9,0
2019,5,28,12:15:00,11908.65,11911.75,11903.3,11910.65,0
2019,5,28,12:20:00,11910.95,11911.35,11906.25,11910.1,0
2019,5,28,12:25:00,11909.6,11910.6,11903.25,11908.4,0
2019,5,28,12:30:00,11908.5,11917.45,11907.45,11908.45,0
2019,5,28,12:35:00,11908.95,11910.25,11898.45,11902.05,0
2019,5,28,12:40:00,11901.7,11902.6,11890.5,11892.65,0
2019,5,28,12:45:00,11892.6,11892.6,11880.1,11886.45,0
2019,5,28,12:50:00,11886.35,11896.55,11885.45,11893.15,0
2019,5,28,12:55:00,11892.95,11903.9,11885,11903.35,0
2019,5,28,13:00:00,11903.1,11906.9,11898,11902.85,0
2019,5,28,13:05:00,11903.55,11914.05,11903.55,11910.2,0
2019,5,28,13:10:00,11910.8,11920.1,11904.55,11905.9,0
2019,5,28,13:15:00,11906.55,11914.4,11901,11913.7,0
2019,5,28,13:20:00,11913.8,11920.65,11908.85,11914.2,0
2019,5,28,13:25:00,11914.9,11922.7,11913.45,11921.95,0
2019,5,28,13:30:00,11921.6,11921.8,11908.6,11912.2,0
2019,5,28,13:35:00,11911.7,11911.7,11900.3,11907.85,0
2019,5,28,13:40:00,11907.8,11910.05,11895.2,11895.2,0
2019,5,28,13:45:00,11894.95,11898,11889.9,11894.85,0
2019,5,28,13:50:00,11895,11900.3,11889.65,11897.9,0
2019,5,28,13:55:00,11897.5,11905.4,11893.75,11897.55,0
2019,5,28,14:00:00,11897.35,11903.7,11892.4,11902.45,0
2019,5,28,14:05:00,11902.75,11905.25,11894.35,11896.05,0
2019,5,28,14:10:00,11896.3,11903.3,11896.05,11901.45,0
2019,5,28,14:15:00,11901.4,11909.05,11895.6,11898.6,0
2019,5,28,14:20:00,11899.3,11901.85,11889.65,11889.7,0
2019,5,28,14:25:00,11888.4,11889.15,11867.3,11875.3,0
2019,5,28,14:30:00,11874.1,11880.25,11865.2,11876.1,0
2019,5,28,14:35:00,11875.75,11886.55,11874.55,11877.15,0
2019,5,28,14:40:00,11877.4,11890.2,11873.6,11885.55,0
2019,5,28,14:45:00,11886.9,11906.85,11884.8,11889.7,0
2019,5,28,14:50:00,11890.15,11897.6,11880.3,11880.65,0
2019,5,28,14:55:00,11881.55,11894.45,11877.75,11894.45,0
2019,5,28,15:00:00,11894.8,11930.25,11893.25,11929.8,0
2019,5,28,15:05:00,11929.9,11950.1,11928.55,11936.95,0
2019,5,28,15:10:00,11935.55,11937.8,11928.25,11928.95,0
2019,5,28,15:15:00,11928.95,11929.3,11915.35,11924.35,0
2019,5,28,15:20:00,11924.4,11945,11924.25,11944.3,0
2019,5,28,15:25:00,11944,11946.6,11933.45,11941.2,0
2019,5,29,09:15:00,11905.8,11922.25,11905.8,11922.25,0
2019,5,29,09:20:00,11922.6,11927.05,11906.7,11913.8,0
